fold,n_train,n_test,test_hate_rate,accuracy,precision_macro,recall_macro,macro_f1,hate_f1
1,3659,915,0.363,0.6765027322404371,0.6527054361567636,0.6560142801049825,0.6540713417188634,0.5659824046920822
2,3659,915,0.363,0.673224043715847,0.6478869281780375,0.6495510343259832,0.6486468437484348,0.5557206537890045
3,3659,915,0.363,0.6852459016393443,0.6601128793486306,0.6609301700799768,0.6605068692219691,0.5688622754491018
4,3659,915,0.363,0.6830601092896175,0.6582736572890026,0.6598632953770485,0.6590103010115964,0.5684523809523809
5,3660,914,0.363,0.6827133479212254,0.6600181598062953,0.6641721525276363,0.6616595099385765,0.577259475218659
